"id","status","species","common_name","scientific_name","year_nominated","circumference","height","spread","total_points","state","location"
"5174","Co-Champion","PINE","Table mountain","Pinus pungens","2012","62.76","94.42","31.25","165","WV","Hardy"
"5858","Co-Champion","PINE","Table mountain","Pinus pungens","2017","69","90","39","169","MD","Green Ridge State Forest"
"3282","Champion","PINE","Torrey","Pinus torreyana","1973","245","126","130","404","CA","Carpenteria"
"6060","Co-Champion","PINE","Virginia","Pinus virginiana","2017","84","108","42","203","VA","Caroline County"
"6059","Co-Champion","PINE","Virginia","Pinus virginiana","2017","108","91","43","210","VA","Fairfax County"
"3723","Champion","PINE","Washoe","Pinus washoensis","2006","207","150","75","376","CA","Modoc NF"
"6279","Champion","PINE","Western white","Pinus monticola","2018","326","138","75","483","NV","Nevada"
"5475","Champion","PINE","Whitebark","Pinus albicaulis","2014","235.6","54","37.33","299","CA","Humboldt-Toiyabe NF"
"4713","Champion","PINYON","Papershell","Pinus remota","2010","74","40","48","126","TX","Edwards County"
"6011","Champion","PISONIA","","Pisonia brunoniana","2017","130","53","32","191","HI","Hawaii Volcanoes National Park"
"3288","Champion","PISTACHIO","Mexican","Pistacia mexicana","2003","33","23","27","63","TX","Langtry"
"3289","Champion","PLUM","Allegheny","Prunus alleghaniensis","1991","37","37","24","80","VA","Craig County"
"5987","Champion","PLUM","American","Prunus americana","2017","84","25","38","119","ME","Cape Elizabeth"
"4908","Co-Champion","PLUM","Chickasaw","Prunus angustifolia","2011","36","23","26","66","VA","Southampton County"
"6157","Co-Champion","PLUM","Chickasaw","Prunus angustifolia","2018","43","20","25","69","FL","Alachua"
"5877","Champion","PLUM","Hortulan","Prunus hortulana","2017","37","30","35","76","MO","Columbia Missouri"
"5741","Champion","PLUM","Indian","Oemleria cerasiformis","2016","20","26","18","51","OR","Marion County"
"3297","Champion","PLUM","Klamath","Prunus subcordata","1972","49","21","18","75","OR","Klamath"
"6110","Champion","PLUM","Mexican","Prunus mexicana","2017","91","22","39","123","TX","Harris County"
"3299","Champion","PLUM","Wildgoose","Prunus munsoniana","2003","30","31","28","68","TX","Dallas"
"3300","Champion","POINCIANA","Royal","Delonix regia","1972","182","80","66","279","FL","Hendry"
"4869","Co-Champion","POISON-SUMAC","","Toxicodendron vernix","2011","18","30","32","56","CT","Hartford"
"4414","Co-Champion","POISON-SUMAC","","Toxicodendron vernix","2009","35","18","17","57","MI","Berrien"
"3303","Champion","POISONTREE","Florida","Metopium toxiferum","1986","80","43","27","130","FL","Monroe"
"4514","Champion","POND-APPLE","","Annona glabra","2009","130","41","40","181","FL","Palm Beach"
"5384","Champion","PONDCYPRESS","","Taxodium ascendens","2014","244.8","95","80.5","360","FL","Lake"
"5104","Champion","POPLAR","Balsam","Populus balsamifera","2012","252","148","82","421","WA","Sequim"
"5559","Champion","POPLAR","White","Populus alba","2014","301","92","86","415","MT","Gallatin"
"3309","Champion","PORT-ORFORD-CEDAR","","Chamaecyparis lawsoniana","1968","522","242","35","773","OR","Coos"
"5563","Champion","POSSUMHAW","","Ilex decidua","2014","39","40","45","90","NC","Pitt County"
"5261","Champion","PRICKLY-ASH","Biscayne","Zanthoxylum coriaceum","2013","9","10","10","22","MO","Fulton"
"5344","Champion","PRICKLY-ASH","Common","Zanthoxylum americanum","2013","11","20","12","34","NY","Wyoming County"
"3312","Champion","PRICKLY-ASH","Lime","Zanthoxylum fagara","1988","69","18","34","96","FL","Lee"
"5367","Champion","PRINCEWOOD","Caribbean","Exostema caribaeum","2013","24","30","18","59","FL","Monroe"
"3314","Champion","PRIVET","California","Ligustrum ovalifolium","1999","96","30","39","136","VA","Roanoke"
"4672","Champion","PRIVET","Chinese","Ligustrum sinense","2010","78","28","33","114","VA","Chesapeake"
"4847","Champion","PRIVET","Japanese","Ligustrum japonicum","2011","42","60","28","109","TX","Houston"
"3318","Champion","REDBUD","California","Cercis occidentalis","1980","71","45","38","126","CA","Sonoma"
